State,Years,Male_P_Bach,Female_P_Bach,Race
Alabama,2022,31.30%,31.90%,White Alone
Alabama,2021,30.40%,30.20%,White Alone
Alabama,2020,28.90%,28.70%,White Alone
Alabama,2019,28.50%,28.60%,White Alone
Alabama,2018,28.40%,28.00%,White Alone
Alabama,2017,28.70%,28.30%,White Alone
Alabama,2016,27.80%,26.20%,White Alone
Alabama,2015,26.60%,26.70%,White Alone
Alaska,2022,34.10%,41.20%,White Alone
Alaska,2021,33.80%,43.70%,White Alone
Alaska,2020,32.00%,40.20%,White Alone
Alaska,2019,32.10%,39.80%,White Alone
Alaska,2018,33.70%,39.10%,White Alone
Alaska,2017,30.80%,38.70%,White Alone
Alaska,2016,31.80%,40.60%,White Alone
Alaska,2015,33.70%,38.00%,White Alone
Arizona,2022,39.00%,37.70%,White Alone
Arizona,2021,37.90%,37.20%,White Alone
Arizona,2020,32.40%,32.00%,White Alone
Arizona,2019,31.10%,31.20%,White Alone
Arizona,2018,31.30%,30.50%,White Alone
Arizona,2017,31.10%,30.40%,White Alone
Arizona,2016,31.30%,30.40%,White Alone
Arizona,2015,29.70%,28.60%,White Alone
Arkansas,2022,25.60%,28.70%,White Alone
Arkansas,2021,26.20%,28.50%,White Alone
Arkansas,2020,23.90%,26.10%,White Alone
Arkansas,2019,23.20%,25.40%,White Alone
Arkansas,2018,24.00%,25.80%,White Alone
Arkansas,2017,24.10%,25.70%,White Alone
Arkansas,2016,23.00%,24.10%,White Alone
Arkansas,2015,22.20%,23.80%,White Alone
California,2022,45.40%,45.40%,White Alone
California,2021,44.90%,44.30%,White Alone
California,2020,36.60%,36.10%,White Alone
California,2019,35.50%,35.60%,White Alone
California,2018,35.10%,34.80%,White Alone
California,2017,35.20%,34.50%,White Alone
California,2016,34.40%,33.60%,White Alone
California,2015,33.60%,32.40%,White Alone
Colorado,2022,49.80%,52.10%,White Alone
Colorado,2021,47.90%,50.70%,White Alone
Colorado,2020,43.10%,44.60%,White Alone
Colorado,2019,43.50%,45.10%,White Alone
Colorado,2018,42.40%,43.90%,White Alone
Colorado,2017,42.30%,43.40%,White Alone
Colorado,2016,41.30%,42.00%,White Alone
Colorado,2015,40.50%,41.50%,White Alone
Connecticut,2022,44.70%,48.10%,White Alone
Connecticut,2021,45.90%,47.60%,White Alone
Connecticut,2020,42.20%,43.20%,White Alone
Connecticut,2019,41.90%,43.20%,White Alone
Connecticut,2018,41.20%,42.80%,White Alone
Connecticut,2017,40.90%,42.20%,White Alone
Connecticut,2016,40.70%,41.50%,White Alone
Connecticut,2015,40.50%,41.00%,White Alone
Delaware,2022,38.70%,40.00%,White Alone
Delaware,2021,37.30%,38.10%,White Alone
Delaware,2020,33.20%,34.90%,White Alone
Delaware,2019,33.50%,35.70%,White Alone
Delaware,2018,32.30%,34.00%,White Alone
Delaware,2017,32.70%,32.90%,White Alone
Delaware,2016,31.90%,32.90%,White Alone
Delaware,2015,31.10%,31.70%,White Alone
Florida,2022,91.80%,92.60%,White Alone
Florida,2021,92.10%,93.60%,White Alone
Florida,2020,89.00%,90.50%,White Alone
Florida,2019,89.80%,88.90%,White Alone
Florida,2018,90.50%,90.60%,White Alone
Florida,2017,87.00%,90.00%,White Alone
Florida,2016,88.10%,89.80%,White Alone
Florida,2015,88.50%,90.90%,White Alone
Georgia,2022,38.00%,37.40%,White Alone
Georgia,2021,37.00%,36.10%,White Alone
Georgia,2020,32.80%,31.70%,White Alone
Georgia,2019,32.70%,32.30%,White Alone
Georgia,2018,32.50%,31.50%,White Alone
Georgia,2017,31.60%,30.80%,White Alone
Georgia,2016,30.80%,29.50%,White Alone
Georgia,2015,30.80%,28.90%,White Alone
Hawaii,2022,37.90%,38.30%,White Alone
Hawaii,2021,37.40%,38.30%,White Alone
Hawaii,2020,34.70%,34.90%,White Alone
Hawaii,2019,34.90%,36.00%,White Alone
Hawaii,2018,34.70%,34.50%,White Alone
Hawaii,2017,33.50%,33.80%,White Alone
Hawaii,2016,32.60%,33.10%,White Alone
Hawaii,2015,32.90%,32.10%,White Alone
Idaho,2022,44.30%,49.10%,White Alone
Idaho,2021,46.00%,51.80%,White Alone
Idaho,2020,43.60%,45.40%,White Alone
Idaho,2019,43.10%,46.20%,White Alone
Idaho,2018,43.20%,45.80%,White Alone
Idaho,2017,43.40%,45.00%,White Alone
Idaho,2016,41.50%,43.60%,White Alone
Idaho,2015,41.10%,45.50%,White Alone
Illinois,2022,33.50%,34.60%,White Alone
Illinois,2021,31.30%,33.40%,White Alone
Illinois,2020,29.80%,29.20%,White Alone
Illinois,2019,29.10%,29.30%,White Alone
Illinois,2018,27.80%,29.00%,White Alone
Illinois,2017,27.80%,26.90%,White Alone
Illinois,2016,29.10%,27.50%,White Alone
Illinois,2015,27.70%,25.10%,White Alone
Indiana,2022,40.50%,42.20%,White Alone
Indiana,2021,40.10%,41.70%,White Alone
Indiana,2020,36.70%,37.90%,White Alone
Indiana,2019,36.60%,37.90%,White Alone
Indiana,2018,36.00%,37.30%,White Alone
Indiana,2017,35.90%,36.60%,White Alone
Indiana,2016,35.10%,36.00%,White Alone
Indiana,2015,34.60%,34.60%,White Alone
Iowa,2022,29.40%,31.30%,White Alone
Iowa,2021,28.40%,30.90%,White Alone
Iowa,2020,27.10%,28.20%,White Alone
Iowa,2019,26.60%,28.00%,White Alone
Iowa,2018,26.90%,28.20%,White Alone
Iowa,2017,26.50%,27.80%,White Alone
Iowa,2016,25.80%,26.90%,White Alone
Iowa,2015,24.80%,25.60%,White Alone
Kansas,2022,31.10%,35.10%,White Alone
Kansas,2021,29.40%,33.00%,White Alone
Kansas,2020,28.10%,30.90%,White Alone
Kansas,2019,27.80%,31.20%,White Alone
Kansas,2018,27.60%,30.60%,White Alone
Kansas,2017,28.00%,30.30%,White Alone
Kansas,2016,27.20%,29.40%,White Alone
Kansas,2015,26.20%,28.10%,White Alone
Kentucky,2022,37.00%,38.90%,White Alone
Kentucky,2021,36.90%,38.50%,White Alone
Kentucky,2020,34.10%,36.00%,White Alone
Kentucky,2019,33.70%,36.80%,White Alone
Kentucky,2018,33.60%,36.00%,White Alone
Kentucky,2017,34.30%,35.50%,White Alone
Kentucky,2016,33.30%,34.10%,White Alone
Kentucky,2015,32.40%,33.30%,White Alone
Louisiana,2022,26.90%,29.60%,White Alone
Louisiana,2021,25.70%,29.30%,White Alone
Louisiana,2020,24.10%,26.30%,White Alone
Louisiana,2019,23.80%,26.50%,White Alone
Louisiana,2018,24.10%,26.10%,White Alone
Louisiana,2017,23.00%,25.00%,White Alone
Louisiana,2016,23.10%,24.60%,White Alone
Louisiana,2015,22.40%,24.60%,White Alone
Maine,2022,29.40%,32.90%,White Alone
Maine,2021,30.10%,32.40%,White Alone
Maine,2020,26.60%,30.10%,White Alone
Maine,2019,26.80%,29.90%,White Alone
Maine,2018,26.90%,29.60%,White Alone
Maine,2017,26.30%,29.20%,White Alone
Maine,2016,26.70%,27.70%,White Alone
Maine,2015,25.70%,27.70%,White Alone
Maryland,2022,33.40%,39.00%,White Alone
Maryland,2021,33.80%,38.30%,White Alone
Maryland,2020,29.70%,35.20%,White Alone
Maryland,2019,30.50%,35.50%,White Alone
Maryland,2018,29.30%,34.00%,White Alone
Maryland,2017,29.30%,35.00%,White Alone
Maryland,2016,27.80%,32.50%,White Alone
Maryland,2015,28.80%,31.50%,White Alone
Massachusetts,2022,48.50%,49.80%,White Alone
Massachusetts,2021,47.80%,48.70%,White Alone
Massachusetts,2020,45.00%,44.90%,White Alone
Massachusetts,2019,45.00%,46.00%,White Alone
Massachusetts,2018,45.30%,45.30%,White Alone
Massachusetts,2017,43.60%,44.50%,White Alone
Massachusetts,2016,43.00%,43.00%,White Alone
Massachusetts,2015,43.00%,42.50%,White Alone
Michigan,2022,48.90%,50.90%,White Alone
Michigan,2021,49.10%,50.40%,White Alone
Michigan,2020,45.60%,47.00%,White Alone
Michigan,2019,45.60%,47.30%,White Alone
Michigan,2018,45.20%,46.70%,White Alone
Michigan,2017,44.20%,45.50%,White Alone
Michigan,2016,43.80%,45.30%,White Alone
Michigan,2015,43.00%,43.30%,White Alone
Minnesota,2022,32.70%,34.20%,White Alone
Minnesota,2021,31.70%,33.90%,White Alone
Minnesota,2020,30.60%,31.10%,White Alone
Minnesota,2019,30.30%,31.40%,White Alone
Minnesota,2018,30.00%,30.70%,White Alone
Minnesota,2017,29.70%,30.20%,White Alone
Minnesota,2016,29.30%,29.00%,White Alone
Minnesota,2015,28.70%,28.60%,White Alone
Mississippi,2022,38.50%,42.60%,White Alone
Mississippi,2021,39.00%,42.20%,White Alone
Mississippi,2020,36.40%,39.50%,White Alone
Mississippi,2019,36.60%,40.30%,White Alone
Mississippi,2018,36.30%,39.30%,White Alone
Mississippi,2017,36.00%,38.50%,White Alone
Mississippi,2016,34.70%,37.20%,White Alone
Mississippi,2015,34.50%,36.80%,White Alone
Missouri,2022,26.60%,30.70%,White Alone
Missouri,2021,25.80%,31.00%,White Alone
Missouri,2020,24.90%,27.60%,White Alone
Missouri,2019,24.40%,27.10%,White Alone
Missouri,2018,25.60%,28.20%,White Alone
Missouri,2017,24.20%,26.30%,White Alone
Missouri,2016,24.10%,26.50%,White Alone
Missouri,2015,23.40%,25.20%,White Alone
Montana,2022,31.90%,34.50%,White Alone
Montana,2021,31.60%,34.10%,White Alone
Montana,2020,29.90%,31.70%,White Alone
Montana,2019,30.00%,32.00%,White Alone
Montana,2018,29.20%,31.30%,White Alone
Montana,2017,29.10%,30.80%,White Alone
Montana,2016,28.60%,30.00%,White Alone
Montana,2015,27.70%,29.70%,White Alone
Nebraska,2022,34.00%,37.80%,White Alone
Nebraska,2021,34.90%,37.50%,White Alone
Nebraska,2020,33.20%,35.10%,White Alone
Nebraska,2019,33.60%,35.00%,White Alone
Nebraska,2018,31.50%,33.90%,White Alone
Nebraska,2017,32.10%,34.80%,White Alone
Nebraska,2016,31.30%,32.20%,White Alone
Nebraska,2015,30.80%,32.50%,White Alone
Nevada,2022,35.10%,38.70%,White Alone
Nevada,2021,34.50%,38.60%,White Alone
Nevada,2020,32.00%,35.00%,White Alone
