State,Years,Percentage,Race
Alabama,2022,31.30%,White Alone
Alabama,2021,30.40%,White Alone
Alabama,2020,28.90%,White Alone
Alabama,2019,28.50%,White Alone
Alabama,2018,28.40%,White Alone
Alabama,2017,28.70%,White Alone
Alabama,2016,27.80%,White Alone
Alabama,2015,26.60%,White Alone
Alaska,2022,34.10%,White Alone
Alaska,2021,33.80%,White Alone
Alaska,2020,32.00%,White Alone
Alaska,2019,32.10%,White Alone
Alaska,2018,33.70%,White Alone
Alaska,2017,30.80%,White Alone
Alaska,2016,31.80%,White Alone
Alaska,2015,33.70%,White Alone
Arizona,2022,39.00%,White Alone
Arizona,2021,37.90%,White Alone
Arizona,2020,32.40%,White Alone
Arizona,2019,31.10%,White Alone
Arizona,2018,31.30%,White Alone
Arizona,2017,31.10%,White Alone
Arizona,2016,31.30%,White Alone
Arizona,2015,29.70%,White Alone
Arkansas,2022,25.60%,White Alone
Arkansas,2021,26.20%,White Alone
Arkansas,2020,23.90%,White Alone
Arkansas,2019,23.20%,White Alone
Arkansas,2018,24.00%,White Alone
Arkansas,2017,24.10%,White Alone
Arkansas,2016,23.00%,White Alone
Arkansas,2015,22.20%,White Alone
California,2022,45.40%,White Alone
California,2021,44.90%,White Alone
California,2020,36.60%,White Alone
California,2019,35.50%,White Alone
California,2018,35.10%,White Alone
California,2017,35.20%,White Alone
California,2016,34.40%,White Alone
California,2015,33.60%,White Alone
Colorado,2022,49.80%,White Alone
Colorado,2021,47.90%,White Alone
Colorado,2020,43.10%,White Alone
Colorado,2019,43.50%,White Alone
Colorado,2018,42.40%,White Alone
Colorado,2017,42.30%,White Alone
Colorado,2016,41.30%,White Alone
Colorado,2015,40.50%,White Alone
Connecticut,2022,44.70%,White Alone
Connecticut,2021,45.90%,White Alone
Connecticut,2020,42.20%,White Alone
Connecticut,2019,41.90%,White Alone
Connecticut,2018,41.20%,White Alone
Connecticut,2017,40.90%,White Alone
Connecticut,2016,40.70%,White Alone
Connecticut,2015,40.50%,White Alone
Delaware,2022,38.70%,White Alone
Delaware,2021,37.30%,White Alone
Delaware,2020,33.20%,White Alone
Delaware,2019,33.50%,White Alone
Delaware,2018,32.30%,White Alone
Delaware,2017,32.70%,White Alone
Delaware,2016,31.90%,White Alone
Delaware,2015,31.10%,White Alone
