"","State","Years","Median_Bach","Bach_M_Median","Bach_F_Median","Median_Grad","Grad_M_Median","Grad_F_Median"
"1","Alabama",2022,"56,640","(X)","(X)","70,732","(X)","(X)"
"2","Alabama",2021,"52,385","(X)","(X)","65,470","(X)","(X)"
"3","Alabama",2020,"51,041","(X)","(X)","62,044","(X)","(X)"
"4","Alabama",2019,"50,643","(X)","(X)","60,922","(X)","(X)"
"5","Alabama",2018,"50,081","(X)","(X)","61,177","(X)","(X)"
"6","Alabama",2017,"49,520","(X)","(X)","57,213","(X)","(X)"
"7","Alabama",2016,"48,304","(X)","(X)","57,307","(X)","(X)"
"8","Alabama",2015,"46,740","(X)","(X)","56,164","(X)","(X)"
"9","Alaska",2022,"67,321","(X)","(X)","89,202","(X)","(X)"
"10","Alaska",2021,"60,141","(X)","(X)","80,892","(X)","(X)"
"11","Alaska",2020,"58,169","(X)","(X)","77,356","(X)","(X)"
"12","Alaska",2019,"53,033","(X)","(X)","71,947","(X)","(X)"
"13","Alaska",2018,"57,708","(X)","(X)","77,402","(X)","(X)"
"14","Alaska",2017,"56,914","(X)","(X)","75,748","(X)","(X)"
"15","Alaska",2016,"51,665","(X)","(X)","75,950","(X)","(X)"
"16","Alaska",2015,"52,885","(X)","(X)","70,590","(X)","(X)"
"17","Arizona",2022,"63,471","(X)","(X)","76,587","(X)","(X)"
"18","Arizona",2021,"57,474","(X)","(X)","74,205","(X)","(X)"
"19","Arizona",2020,"53,315","(X)","(X)","68,813","(X)","(X)"
"20","Arizona",2019,"52,077","(X)","(X)","69,902","(X)","(X)"
"21","Arizona",2018,"51,576","(X)","(X)","66,004","(X)","(X)"
"22","Arizona",2017,"51,197","(X)","(X)","65,573","(X)","(X)"
"23","Arizona",2016,"50,479","(X)","(X)","62,034","(X)","(X)"
"24","Arizona",2015,"49,801","(X)","(X)","60,884","(X)","(X)"
"25","Arkansas",2022,"53,117","(X)","(X)","68,769","(X)","(X)"
"26","Arkansas",2021,"51,046","(X)","(X)","63,107","(X)","(X)"
"27","Arkansas",2020,"48,498","(X)","(X)","62,247","(X)","(X)"
"28","Arkansas",2019,"46,964","(X)","(X)","62,027","(X)","(X)"
"29","Arkansas",2018,"46,919","(X)","(X)","61,185","(X)","(X)"
"30","Arkansas",2017,"46,483","(X)","(X)","60,011","(X)","(X)"
"31","Arkansas",2016,"45,963","(X)","(X)","56,296","(X)","(X)"
"32","Arkansas",2015,"42,828","(X)","(X)","55,490","(X)","(X)"
"33","California",2022,"75,688","(X)","(X)","103,600","(X)","(X)"
"34","California",2021,"71,142","(X)","(X)","99,341","(X)","(X)"
"35","California",2020,"64,554","(X)","(X)","91,622","(X)","(X)"
"36","California",2019,"65,078","(X)","(X)","92,334","(X)","(X)"
"37","California",2018,"62,347","(X)","(X)","90,204","(X)","(X)"
"38","California",2017,"60,940","(X)","(X)","85,555","(X)","(X)"
"39","California",2016,"60,121","(X)","(X)","82,271","(X)","(X)"
"40","California",2015,"57,282","(X)","(X)","80,442","(X)","(X)"
"41","Colorado",2022,"69,493","(X)","(X)","84,468","(X)","(X)"
"42","Colorado",2021,"63,777","(X)","(X)","79,017","(X)","(X)"
"43","Colorado",2020,"55,870","(X)","(X)","71,561","(X)","(X)"
"44","Colorado",2019,"58,229","(X)","(X)","71,616","(X)","(X)"
"45","Colorado",2018,"54,937","(X)","(X)","68,181","(X)","(X)"
"46","Colorado",2017,"52,074","(X)","(X)","67,553","(X)","(X)"
"47","Colorado",2016,"51,136","(X)","(X)","65,657","(X)","(X)"
"48","Colorado",2015,"50,196","(X)","(X)","63,270","(X)","(X)"
"49","Connecticut",2022,"75,597","(X)","(X)","92,566","(X)","(X)"
"50","Connecticut",2021,"69,915","(X)","(X)","88,250","(X)","(X)"
"51","Connecticut",2020,"66,131","(X)","(X)","85,786","(X)","(X)"
"52","Connecticut",2019,"64,143","(X)","(X)","85,175","(X)","(X)"
"53","Connecticut",2018,"64,398","(X)","(X)","83,968","(X)","(X)"
"54","Connecticut",2017,"61,520","(X)","(X)","80,966","(X)","(X)"
"55","Connecticut",2016,"61,257","(X)","(X)","80,306","(X)","(X)"
"56","Connecticut",2015,"61,071","(X)","(X)","77,568","(X)","(X)"
"57","Delaware",2022,"64,139","(X)","(X)","79,150","(X)","(X)"
"58","Delaware",2021,"61,378","(X)","(X)","73,888","(X)","(X)"
"59","Delaware",2020,"57,580","(X)","(X)","74,916","(X)","(X)"
"60","Delaware",2019,"56,603","(X)","(X)","70,579","(X)","(X)"
"61","Delaware",2018,"52,267","(X)","(X)","70,036","(X)","(X)"
"62","Delaware",2017,"57,157","(X)","(X)","73,360","(X)","(X)"
"63","Delaware",2016,"54,225","(X)","(X)","71,356","(X)","(X)"
"64","Delaware",2015,"52,261","(X)","(X)","65,967","(X)","(X)"
"65","Florida",2022,"56,243","(X)","(X)","74,215","(X)","(X)"
"66","Florida",2021,"51,381","(X)","(X)","67,954","(X)","(X)"
"67","Florida",2020,"48,311","(X)","(X)","63,440","(X)","(X)"
"68","Florida",2019,"47,810","(X)","(X)","62,425","(X)","(X)"
"69","Florida",2018,"46,380","(X)","(X)","61,748","(X)","(X)"
"70","Florida",2017,"45,651","(X)","(X)","60,959","(X)","(X)"
"71","Florida",2016,"45,031","(X)","(X)","59,576","(X)","(X)"
"72","Florida",2015,"42,714","(X)","(X)","57,128","(X)","(X)"
"73","Georgia",2022,"63,803","(X)","(X)","78,550","(X)","(X)"
"74","Georgia",2021,"60,454","(X)","(X)","72,973","(X)","(X)"
"75","Georgia",2020,"54,594","(X)","(X)","69,501","(X)","(X)"
"76","Georgia",2019,"53,662","(X)","(X)","70,027","(X)","(X)"
"77","Georgia",2018,"54,692","(X)","(X)","67,375","(X)","(X)"
"78","Georgia",2017,"51,915","(X)","(X)","65,479","(X)","(X)"
"79","Georgia",2016,"50,962","(X)","(X)","62,819","(X)","(X)"
"80","Georgia",2015,"49,696","(X)","(X)","61,443","(X)","(X)"
"81","Hawaii",2022,"61,880","(X)","(X)","79,653","(X)","(X)"
"82","Hawaii",2021,"55,171","(X)","(X)","73,122","(X)","(X)"
"83","Hawaii",2020,"52,264","(X)","(X)","71,768","(X)","(X)"
"84","Hawaii",2019,"52,183","(X)","(X)","72,035","(X)","(X)"
"85","Hawaii",2018,"50,463","(X)","(X)","69,668","(X)","(X)"
"86","Hawaii",2017,"50,803","(X)","(X)","67,836","(X)","(X)"
"87","Hawaii",2016,"49,440","(X)","(X)","64,283","(X)","(X)"
"88","Hawaii",2015,"46,167","(X)","(X)","65,094","(X)","(X)"
"89","Idaho",2022,"54,796","(X)","(X)","72,869","(X)","(X)"
"90","Idaho",2021,"50,581","(X)","(X)","68,649","(X)","(X)"
"91","Idaho",2020,"45,572","(X)","(X)","63,918","(X)","(X)"
"92","Idaho",2019,"46,364","(X)","(X)","60,816","(X)","(X)"
"93","Idaho",2018,"44,469","(X)","(X)","61,876","(X)","(X)"
"94","Idaho",2017,"42,188","(X)","(X)","60,976","(X)","(X)"
"95","Idaho",2016,"41,343","(X)","(X)","60,084","(X)","(X)"
"96","Idaho",2015,"42,661","(X)","(X)","57,829","(X)","(X)"
"97","Illinois",2022,"68,489","(X)","(X)","84,140","(X)","(X)"
"98","Illinois",2021,"63,725","(X)","(X)","81,737","(X)","(X)"
"99","Illinois",2020,"60,045","(X)","(X)","77,135","(X)","(X)"
"100","Illinois",2019,"60,357","(X)","(X)","76,363","(X)","(X)"
"101","Illinois",2018,"57,357","(X)","(X)","75,802","(X)","(X)"
"102","Illinois",2017,"56,643","(X)","(X)","73,296","(X)","(X)"
"103","Illinois",2016,"55,161","(X)","(X)","70,924","(X)","(X)"
"104","Illinois",2015,"52,369","(X)","(X)","70,580","(X)","(X)"
"105","Indiana",2022,"58,609","(X)","(X)","73,559","(X)","(X)"
"106","Indiana",2021,"54,525","(X)","(X)","70,183","(X)","(X)"
"107","Indiana",2020,"51,475","(X)","(X)","65,658","(X)","(X)"
"108","Indiana",2019,"50,630","(X)","(X)","65,941","(X)","(X)"
