In / Out of New Methodology Implemented,In / Out of New Processing Implemented,Measure Names,Year,Measure Values
Out,In,Total Women,2017,"50,250"
Out,In,Total Men,2017,"61,530"
Out,In,White Women,2017,"53,270"
Out,In,White Men,2017,"63,410"
Out,In,Black Women,2017,"43,630"
Out,In,Black Men,2017,"49,200"
Out,In,Asian Women,2017,"61,270"
Out,In,Asian Men,2017,"80,020"
Out,In,Hispanic Women,2017,"37,910"
Out,In,Hispanic Men,2017,"44,340"
Out,In,"White, non-Hispanic Women",2017,"55,990"
Out,In,"White, non-Hispanic Men",2017,"71,230"
Out,In,Total Women,2018,"52,130"
Out,In,Total Men,2018,"63,910"
Out,In,White Women,2018,"52,900"
Out,In,White Men,2018,"65,150"
Out,In,Black Women,2018,"43,960"
Out,In,Black Men,2018,"51,300"
Out,In,Asian Women,2018,"64,230"
Out,In,Asian Men,2018,"81,350"
Out,In,Hispanic Women,2018,"38,770"
Out,In,Hispanic Men,2018,"46,240"
Out,In,"White, non-Hispanic Women",2018,"55,930"
Out,In,"White, non-Hispanic Men",2018,"71,170"
Out,In,Total Women,2019,"53,870"
Out,In,Total Men,2019,"65,440"
Out,In,White Women,2019,"55,630"
Out,In,White Men,2019,"68,360"
Out,In,Black Women,2019,"46,810"
Out,In,Black Men,2019,"51,990"
Out,In,Asian Women,2019,"64,700"
Out,In,Asian Men,2019,"86,190"
Out,In,Hispanic Women,2019,"41,130"
Out,In,Hispanic Men,2019,"47,290"
Out,In,"White, non-Hispanic Women",2019,"58,460"
Out,In,"White, non-Hispanic Men",2019,"74,270"
Out,In,Total Women,2020,"57,500"
Out,In,Total Men,2020,"69,160"
Out,In,White Women,2020,"57,890"
Out,In,White Men,2020,"69,750"
Out,In,Black Women,2020,"48,730"
Out,In,Black Men,2020,"56,920"
Out,In,Asian Women,2020,"77,230"
Out,In,Asian Men,2020,"92,970"
Out,In,Hispanic Women,2020,"43,670"
Out,In,Hispanic Men,2020,"50,780"
Out,In,"White, non-Hispanic Women",2020,"60,700"
Out,In,"White, non-Hispanic Men",2020,"76,020"
Out,In,Total Women,2021,"55,240"
Out,In,Total Men,2021,"65,970"
Out,In,White Women,2021,"55,480"
Out,In,White Men,2021,"66,570"
Out,In,Black Women,2021,"50,190"
Out,In,Black Men,2021,"54,120"
Out,In,Asian Women,2021,"68,870"
Out,In,Asian Men,2021,"88,200"
Out,In,Hispanic Women,2021,"42,600"
Out,In,Hispanic Men,2021,"49,410"
Out,In,"White, non-Hispanic Women",2021,"59,660"
Out,In,"White, non-Hispanic Men",2021,"74,660"
Out,In,Total Women,2022,"52,360"
Out,In,Total Men,2022,"62,350"
Out,In,White Women,2022,"53,120"
Out,In,White Men,2022,"65,110"
Out,In,Black Women,2022,"49,470"
Out,In,Black Men,2022,"51,640"
Out,In,Asian Women,2022,"70,580"
Out,In,Asian Men,2022,"87,410"
Out,In,Hispanic Women,2022,"41,140"
Out,In,Hispanic Men,2022,"47,420"
Out,In,"White, non-Hispanic Women",2022,"57,250"
Out,In,"White, non-Hispanic Men",2022,"71,590"
In,Out,Total Women,2013,"47,590"
In,Out,Total Men,2013,"61,360"
In,Out,White Women,2013,"49,270"
In,Out,White Men,2013,"62,160"
In,Out,Black Women,2013,"39,810"
In,Out,Black Men,2013,"48,010"
In,Out,Asian Women,2013,"55,620"
In,Out,Asian Men,2013,"70,320"
In,Out,Hispanic Women,2013,"37,620"
In,Out,Hispanic Men,2013,"39,360"
In,Out,"White, non-Hispanic Women",2013,"50,590"
In,Out,"White, non-Hispanic Men",2013,"67,650"
In,Out,Total Women,2014,"47,930"
In,Out,Total Men,2014,"60,940"
In,Out,White Women,2014,"48,920"
In,Out,White Men,2014,"61,720"
In,Out,Black Women,2014,"40,560"
In,Out,Black Men,2014,"49,250"
In,Out,Asian Women,2014,"56,050"
In,Out,Asian Men,2014,"68,880"
In,Out,Hispanic Women,2014,"36,640"
In,Out,Hispanic Men,2014,"41,770"
In,Out,"White, non-Hispanic Women",2014,"50,590"
In,Out,"White, non-Hispanic Men",2014,"67,100"
In,Out,Total Women,2015,"49,320"
In,Out,Total Men,2015,"61,990"
In,Out,White Women,2015,"49,890"
In,Out,White Men,2015,"62,760"
In,Out,Black Women,2015,"43,820"
In,Out,Black Men,2015,"49,760"
In,Out,Asian Women,2015,"58,670"
In,Out,Asian Men,2015,"75,030"
In,Out,Hispanic Women,2015,"37,660"
In,Out,Hispanic Men,2015,"43,180"
In,Out,"White, non-Hispanic Women",2015,"52,130"
In,Out,"White, non-Hispanic Men",2015,"69,250"
In,Out,Total Women,2016,"49,860"
In,Out,Total Men,2016,"61,960"
In,Out,White Women,2016,"50,520"
In,Out,White Men,2016,"62,660"
In,Out,Black Women,2016,"43,470"
In,Out,Black Men,2016,"49,550"
In,Out,Asian Women,2016,"60,730"
In,Out,Asian Men,2016,"78,710"
In,Out,Hispanic Women,2016,"37,820"
In,Out,Hispanic Men,2016,"44,820"
In,Out,"White, non-Hispanic Women",2016,"54,880"
In,Out,"White, non-Hispanic Men",2016,"69,500"
In,Out,Total Women,2017,"49,500"
In,Out,Total Men,2017,"61,490"
In,Out,White Women,2017,"50,670"
In,Out,White Men,2017,"63,100"
In,Out,Black Women,2017,"43,320"
In,Out,Black Men,2017,"49,610"
In,Out,Asian Women,2017,"60,580"
In,Out,Asian Men,2017,"79,800"
In,Out,Hispanic Women,2017,"37,740"
In,Out,Hispanic Men,2017,"45,840"
In,Out,"White, non-Hispanic Women",2017,"54,850"
In,Out,"White, non-Hispanic Men",2017,"71,210"
Out,Out,Total Women,1960,"26,560"
Out,Out,Total Men,1960,"43,770"
Out,Out,White Women,1960,
Out,Out,White Men,1960,
Out,Out,Black Women,1960,
Out,Out,Black Men,1960,
Out,Out,Asian Women,1960,
Out,Out,Asian Men,1960,
Out,Out,Hispanic Women,1960,
Out,Out,Hispanic Men,1960,
Out,Out,"White, non-Hispanic Women",1960,
Out,Out,"White, non-Hispanic Men",1960,
Out,Out,Total Women,1961,"26,770"
Out,Out,Total Men,1961,"45,170"
Out,Out,White Women,1961,
Out,Out,White Men,1961,
Out,Out,Black Women,1961,
Out,Out,Black Men,1961,
Out,Out,Asian Women,1961,
Out,Out,Asian Men,1961,
Out,Out,Hispanic Women,1961,
Out,Out,Hispanic Men,1961,
Out,Out,"White, non-Hispanic Women",1961,
Out,Out,"White, non-Hispanic Men",1961,
Out,Out,Total Women,1962,"27,280"
Out,Out,Total Men,1962,"46,000"
Out,Out,White Women,1962,
Out,Out,White Men,1962,
Out,Out,Black Women,1962,
Out,Out,Black Men,1962,
Out,Out,Asian Women,1962,
Out,Out,Asian Men,1962,
Out,Out,Hispanic Women,1962,
Out,Out,Hispanic Men,1962,
Out,Out,"White, non-Hispanic Women",1962,
Out,Out,"White, non-Hispanic Men",1962,
Out,Out,Total Women,1963,"27,780"
Out,Out,Total Men,1963,"47,120"
Out,Out,White Women,1963,
Out,Out,White Men,1963,
Out,Out,Black Women,1963,
Out,Out,Black Men,1963,
Out,Out,Asian Women,1963,
Out,Out,Asian Men,1963,
Out,Out,Hispanic Women,1963,
Out,Out,Hispanic Men,1963,
Out,Out,"White, non-Hispanic Women",1963,
Out,Out,"White, non-Hispanic Men",1963,
Out,Out,Total Women,1964,"28,640"
Out,Out,Total Men,1964,"48,410"
Out,Out,White Women,1964,
Out,Out,White Men,1964,
Out,Out,Black Women,1964,
Out,Out,Black Men,1964,
Out,Out,Asian Women,1964,
Out,Out,Asian Men,1964,
Out,Out,Hispanic Women,1964,
Out,Out,Hispanic Men,1964,
Out,Out,"White, non-Hispanic Women",1964,
Out,Out,"White, non-Hispanic Men",1964,
Out,Out,Total Women,1965,"29,320"
Out,Out,Total Men,1965,"48,930"
Out,Out,White Women,1965,
Out,Out,White Men,1965,
Out,Out,Black Women,1965,
Out,Out,Black Men,1965,
Out,Out,Asian Women,1965,
Out,Out,Asian Men,1965,
Out,Out,Hispanic Women,1965,
Out,Out,Hispanic Men,1965,
Out,Out,"White, non-Hispanic Women",1965,
Out,Out,"White, non-Hispanic Men",1965,
Out,Out,Total Women,1966,"29,400"
Out,Out,Total Men,1966,"51,080"
Out,Out,White Women,1966,
Out,Out,White Men,1966,
Out,Out,Black Women,1966,
Out,Out,Black Men,1966,
Out,Out,Asian Women,1966,
Out,Out,Asian Men,1966,
Out,Out,Hispanic Women,1966,
Out,Out,Hispanic Men,1966,
Out,Out,"White, non-Hispanic Women",1966,
Out,Out,"White, non-Hispanic Men",1966,
Out,Out,Total Women,1967,"29,960"
