Years,Race,Total Male,Total Female
2015,AIAN,96667,125449
2015,Asian Alone,3046823,3270710
2015,Black Alone,2077046,3097967
2015,Hispanic or Latino Origin,2119034,2558330
2015,NHPI,23438,24355
2015,Some other race Alone,452814,530742
2015,Two or more races,563331,672702
2015,White Alone,25384713,26867802
2015,"White, Not Hispanic",23823504,24999938
2016,AIAN,102940,132397
2016,Asian Alone,3148941,3407116
2016,Black Alone,2173236,3240715
2016,Hispanic or Latino Origin,2233630,2728121
2016,NHPI,27509,29829
2016,Some other race Alone,468491,563741
2016,Two or more races,599048,723548
2016,White Alone,25983001,27721608
2016,"White, Not Hispanic",24341060,25743279
2017,AIAN,106035,143050
2017,Asian Alone,3331713,3607126
2017,Black Alone,2253684,3402308
2017,Hispanic or Latino Origin,2413438,2947153
2017,NHPI,29755,33728
2017,Some other race Alone,510846,622956
2017,Two or more races,648305,776671
2017,White Alone,26625865,28667583
2017,"White, Not Hispanic",24862336,26534841
2018,AIAN,114578,152120
2018,Asian Alone,3454687,3750389
2018,Black Alone,2369452,3540334
2018,Hispanic or Latino Origin,2630652,3179453
2018,NHPI,32608,36794
2018,Some other race Alone,537728,654767
2018,Two or more races,715507,861536
2018,White Alone,27181510,29341187
2018,"White, Not Hispanic",25253838,27051525
2019,AIAN,126974,161518
2019,Asian Alone,3553501,3881347
2019,Black Alone,2481765,3682301
2019,Hispanic or Latino Origin,2791429,3372669
2019,NHPI,28096,34845
2019,Some other race Alone,587758,705808
2019,Two or more races,744993,888336
2019,White Alone,27574216,30040023
2019,"White, Not Hispanic",25550556,27611361
2020,AIAN,111583,147660
2020,Asian Alone,3440619,3721589
2020,Black Alone,2407145,3598478
2020,Hispanic or Latino Origin,2713564,3283916
2020,NHPI,33647,37577
2020,Some other race Alone,602643,712817
2020,Two or more races,1098279,1340524
2020,White Alone,26992844,29110914
2020,"White, Not Hispanic",25318210,27099174
2021,AIAN,138946,176005
2021,Asian Alone,3732604,4035827
2021,Black Alone,2649022,3903762
2021,Hispanic or Latino Origin,3267785,3947281
2021,NHPI,31422,35855
2021,Some other race Alone,1035698,1237707
2021,Two or more races,2917704,3463586
2021,White Alone,27219329,29318075
2021,"White, Not Hispanic",26622852,28564949
2022,AIAN,143610,193115
2022,Asian Alone,3931895,4210103
2022,Black Alone,2739690,4047424
2022,Hispanic or Latino Origin,3451872,4153266
2022,NHPI,37399,38893
2022,Some other race Alone,1092163,1317022
2022,Two or more races,3046597,3541413
2022,White Alone,27681283,29876136
2022,"White, Not Hispanic",27022908,29050814
