Year,Total Women,Total Men,White Women,White Men,Black Women,Black Men,Asian Women,Asian Men,Hispanic Women,Hispanic Men,"White, non-Hispanic Women","White, non-Hispanic Men"
1960,26560,43770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,26770,45170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,27280,46000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,27780,47120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,28640,48410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,29320,48930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,29400,51080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,29960,51860,30900,53400,23060,34490,NA,NA,NA,NA,NA,NA
1968,30950,53230,31810,54660,24220,36910,NA,NA,NA,NA,NA,NA
1969,33160,54810,33830,58200,26710,39180,NA,NA,NA,NA,NA,NA
1970,33820,56960,34380,58590,28250,40450,NA,NA,NA,NA,NA,NA
1971,34080,57270,34430,58850,30550,40630,NA,NA,NA,NA,NA,NA
1972,34800,60150,35360,62450,30350,43040,NA,NA,NA,NA,NA,NA
1973,35200,62150,35750,63980,30490,43780,NA,NA,NA,NA,NA,NA
1974,35260,60010,35510,61300,33200,44100,NA,NA,29970,44950,NA,NA
1975,35040,59570,35080,60960,33790,45330,NA,NA,30030,43950,NA,NA
1976,35780,59440,36020,61020,33800,44670,NA,NA,30830,45360,NA,NA
1977,35760,60690,35980,62490,33600,43340,NA,NA,31190,44770,NA,NA
1978,36310,61090,36610,62120,34260,47940,NA,NA,31360,45580,NA,NA
1979,36010,60360,36290,61740,33430,44840,NA,NA,29950,43920,NA,NA
1980,35770,59460,36030,61210,34100,43280,NA,NA,30920,43320,NA,NA
1981,35000,59090,35310,60390,32660,42950,NA,NA,31290,42930,NA,NA
1982,35790,57960,36190,59410,33360,42630,NA,NA,30560,42300,NA,NA
1983,36730,57750,37120,59170,33490,42630,NA,NA,30790,42680,NA,NA
1984,37440,58820,37760,60700,34760,42140,NA,NA,31780,42910,NA,NA
1985,38280,59280,38700,61400,35050,42820,NA,NA,32010,41770,NA,NA
1986,39120,60870,39580,62490,35510,44200,NA,NA,33350,40530,NA,NA
1987,39430,60490,39810,61850,36720,44580,NA,NA,33860,40650,40240,63350
1988,39580,59930,40060,61220,37180,45800,43500,60980,33380,40130,40730,63530
1989,40420,58860,40750,61470,37450,43990,46010,60630,33730,39540,41440,64540
1990,40710,56850,41180,59320,37050,43370,43800,54970,32190,39300,41810,61890
1991,40730,58310,41210,59980,37100,43750,41960,59770,32190,39180,41810,61530
1992,41310,58360,41740,59640,38200,43290,44070,58990,33020,37770,42320,61310
1993,41020,57350,41540,58640,37370,43420,45920,58290,31610,38000,42220,60300
1994,40980,56950,41760,58320,36750,43820,45130,59180,32430,37490,42810,60240
1995,40560,56790,41310,58010,37260,44050,44860,56930,30970,36750,42660,62030
1996,41650,56470,42440,57910,37720,46380,44890,60520,32790,36990,43720,62260
1997,42950,57910,43570,60530,37900,45460,47780,59650,32630,37170,44570,62940
1998,43880,59970,44530,61370,38430,45900,45930,59090,32610,37810,45610,64020
1999,43740,60490,44290,61820,40270,49430,47490,61330,32220,37270,45600,67230
2000,44130,59860,45380,62080,40320,48370,48970,65170,33200,38210,47940,66280
2001,45910,60150,47030,62600,41790,49270,48220,65770,33780,39420,48400,65500
2002,46880,61200,47430,62920,41720,48760,48790,65000,34010,40310,48740,65930
2003,46710,61830,47390,62660,41000,49020,49550,69300,34000,39660,48740,68050
2004,46340,60510,46920,61630,41140,46410,53400,68220,34820,39540,48240,67550
2005,45920,59660,46380,60520,42770,47680,52030,69290,34910,38590,49180,66940
2006,45550,59200,47300,61850,42520,48710,55070,72060,35300,40710,50060,67830
2007,47940,61620,48540,62840,42350,49260,55140,69260,36350,41250,50190,68740
2008,47100,61090,47690,62410,41490,49160,55620,67640,35370,40790,49260,67520
2009,47990,62340,48570,64410,42100,49600,56000,68470,35960,41530,50970,68000
2010,48140,62570,48770,65490,42150,48080,53870,67490,36780,41210,52570,67800
2011,46980,61010,47740,63370,42400,49970,51740,69710,36730,40300,51050,66220
2012,46920,61340,48440,62600,42070,47820,56600,72900,35290,40040,50800,65230
2013,47590,61360,49270,62160,39810,48010,55620,70320,37620,39360,50590,67650
2014,47930,60940,48920,61720,40560,49250,56050,68880,36640,41770,50590,67100
2015,49320,61990,49890,62760,43820,49760,58670,75030,37660,43180,52130,69250
2016,49860,61960,50520,62660,43470,49550,60730,78710,37820,44820,54880,69500
2017,49500,61490,50670,63100,43320,49610,60580,79800,37740,45840,54850,71210
2018,52130,63910,52900,65150,43960,51300,64230,81350,38770,46240,55930,71170
2019,53870,65440,55630,68360,46810,51990,64700,86190,41130,47290,58460,74270
2020,57500,69160,57890,69750,48730,56920,77230,92970,43670,50780,60700,76020
2021,55240,65970,55480,66570,50190,54120,68870,88200,42600,49410,59660,74660
2022,52360,62350,53120,65110,49470,51640,70580,87410,41140,47420,57250,71590
